,entidad,viv_sel,num_hog,hog_mud,n_ren_el,cd,sexo,edad,nivel,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p7,p7_3,p8_1,p8_2,p9,p10,p11,p13,p13_3,p14_1,p14_2,p15,p16,p17,p19,p19_3,p20_1,p20_2,p21,p22,p23_1,p23_2,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
1119,15,3,1,0,6,16,2,34,3,1,1,1,1,1,2,2,1,2,3,2,2,1,1,2,2,2,0.0,2,1,1,2,3,2,0,2,1,1,0,0,0,0.0,0,0,0,0,0,0,2,2,20,2,0,2,3,1,0,2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,1,2,1,2,2,0,1
1120,15,2,1,0,1,16,2,35,3,7,1,1,1,2,2,2,2,2,3,1,2,2,2,2,2,2,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,20,2,0,2,3,1,0,2,2,2,2,2,1,2,0,2,0,1,1,1,1,1,1,1,1,2,0,0,1
1121,15,4,1,0,3,16,2,85,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,15,1,1,0,2,16,1,42,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,2,0,2,0,1,1,1,1,1,4,4,2,0,0,0,2
1123,16,1,1,0,1,15,1,43,7,1,1,1,1,2,2,2,2,1,3,2,1,2,2,2,2,1,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,40,2,0,2,4,1,0,1,1,2,1,2,1,3,0,1,5,1,2,2,2,1,1,1,1,1,0,0,1
1124,16,3,1,0,3,15,1,30,7,1,1,1,1,2,2,2,2,1,4,2,1,2,2,2,2,1,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,120,2,0,3,2,1,0,2,2,2,2,2,2,2,0,1,2,1,2,1,2,2,1,1,1,1,0,0,1
1125,16,4,1,0,2,15,2,28,4,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,4,4,2,0,0,0,2
1126,16,2,1,0,2,15,2,68,2,7,1,1,1,2,2,2,2,1,4,2,2,2,1,2,2,2,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,10,2,0,1,2,2,0,2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,1,1,1,2,0,0,1
1127,16,3,1,0,5,15,1,29,7,1,1,1,1,2,2,2,1,3,3,2,2,2,1,2,2,3,1500.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,30,2,0,4,4,1,0,2,2,2,2,2,2,2,0,2,0,1,1,2,2,2,1,2,1,2,0,0,1
1128,16,1,1,0,2,15,2,48,2,7,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,1,2,2,2,2,4,2,0,0,0,2
1129,16,1,1,0,1,15,1,45,3,1,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,1,3,60.0,2,1,2,0,0,0,2,4,30,2,0,2,4,2,0,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,3,3,1,0,0,2,1
1130,16,3,1,0,2,15,2,68,2,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,4,3,10,2,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,20,1,5,2,4,1,0,2,1,2,2,2,2,2,0,2,0,1,2,1,1,2,1,3,1,0,2,0,1
1131,16,2,1,0,1,15,1,72,3,8,1,1,1,1,2,2,2,2,4,2,2,1,2,2,2,2,0.0,2,1,1,4,4,2,0,2,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,40,2,0,1,3,2,0,2,2,2,2,2,2,2,0,2,0,1,1,1,1,2,1,2,1,2,2,0,1
1132,16,3,1,0,1,15,2,74,2,7,1,1,1,2,2,2,2,1,5,2,2,1,2,2,2,2,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,2,0,2,4,2,0,2,2,2,2,2,2,2,0,2,0,1,2,1,1,2,1,1,1,2,0,0,1
1133,16,4,1,0,2,15,2,40,2,7,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,2,4,2,0,0,0,2
1134,16,1,1,0,1,15,1,29,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,4,4,2,0,0,0,2
1135,16,2,1,0,2,15,2,54,3,7,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,4,60,1,7,3,2,2,0,2,2,2,2,1,2,2,0,2,0,1,2,1,1,1,1,3,1,0,0,0,2
1136,16,3,1,0,1,15,1,61,6,8,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,4,2,0,2,1,1,0,0,0,0.0,0,0,0,0,0,0,2,3,20,2,0,2,3,1,0,2,2,2,2,1,1,2,0,1,1,1,1,1,1,1,1,3,1,0,2,0,1
1137,16,4,1,0,2,15,2,85,2,7,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,2,1,2,0,2,0,1,1,1,1,2,4,4,2,0,0,0,2
1138,16,1,1,0,1,15,2,55,2,7,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,4,3,60,2,1,1,4,4,2,0.0,2,1,1,0,0,0,0,0,30,2,0,2,2,2,0,2,1,2,1,2,2,2,0,2,0,1,2,1,1,1,1,3,1,0,2,2,1
1139,16,2,1,0,1,15,2,62,6,8,1,1,1,1,1,2,1,2,3,2,2,2,1,2,2,2,0.0,2,1,1,3,4,3,100,2,1,1,2,4,1,0.0,1,2,1,0,0,0,1,4,120,2,0,3,4,1,0,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1
1140,16,1,1,0,2,15,2,25,7,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,4,2,0,0,0,2
1141,16,4,1,0,3,15,1,29,7,1,1,1,1,2,1,2,2,24,4,2,1,2,1,1,2,3,120000.0,1,1,1,0,0,0,0,0,0,0,5,3,3,150.0,2,1,1,0,0,0,0,0,180,2,0,3,4,1,0,1,1,1,1,2,1,1,2,1,5,1,1,1,2,1,1,2,1,3,0,2,1
1142,16,2,1,1,2,15,1,39,7,1,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,4,1,0,1,2,1,0,0,0,0.0,0,0,0,0,0,0,2,3,25,2,0,4,3,2,0,2,2,2,2,1,1,1,2,1,5,1,2,1,1,2,1,3,1,0,1,0,1
1143,16,2,1,0,2,15,1,44,9,1,1,1,1,1,2,2,1,30,1,2,1,2,2,2,2,1,0.0,1,2,1,5,3,3,150,2,1,1,0,0,0,0.0,0,0,0,0,0,0,3,1,120,2,0,4,4,1,0,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,2,1,1,2,0,1
1144,16,1,1,1,1,15,2,51,6,1,1,1,1,2,2,2,1,3,3,2,2,2,1,2,2,2,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,90,2,0,3,4,2,0,1,2,2,2,2,1,2,0,1,2,1,1,1,1,1,1,2,1,2,0,0,1
1145,16,4,1,0,1,15,1,56,4,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,180,2,0,2,3,2,0,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,3,1,0,0,0,2
1146,16,1,1,0,1,15,2,22,7,6,1,1,1,1,2,2,1,2,4,2,2,2,2,1,2,2,0.0,2,1,1,7,2,1,0,1,2,1,0,0,0,0.0,0,0,0,0,0,0,3,2,360,1,5,2,3,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,0,1
1147,16,2,1,0,1,15,2,33,7,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,30,2,0,3,3,2,0,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,0,0,0,2
1148,16,1,1,0,2,15,2,22,7,6,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,5,2,0,2,4,1,0,1,1,2,1,2,2,2,0,2,0,1,2,1,2,2,1,2,1,1,0,0,1
1149,16,2,1,0,2,15,1,25,7,1,1,1,1,2,1,2,1,3,1,2,1,2,2,2,2,3,900.0,2,1,1,0,0,0,0,0,0,0,5,3,1,0.0,1,2,2,0,0,0,2,2,30,2,0,4,3,1,0,1,1,2,1,2,1,2,0,1,5,1,2,1,1,2,1,2,1,2,0,1,1
1150,16,3,1,0,1,15,2,48,6,1,1,1,1,1,2,2,2,1,4,2,2,1,2,2,2,3,120.0,2,1,1,1,4,2,0,2,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,20,2,0,2,3,1,0,2,1,2,1,2,2,2,0,2,0,1,1,1,2,2,1,2,1,2,2,0,1
1151,16,4,1,0,1,15,2,48,6,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,5,3,21,2,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,20,2,0,1,3,1,0,1,1,2,2,1,1,1,1,1,5,1,2,1,1,1,1,3,1,0,2,0,1
1152,16,2,1,0,1,15,2,47,4,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,2,0,2,0,1,1,1,1,1,2,4,2,0,0,0,2
1153,16,4,1,0,2,15,2,25,3,7,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,4,4,2,0,0,0,2
1154,16,3,1,0,9,15,2,18,3,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,0,1,1,1,2,1,1,2,2,4,2,0,0,0,2
1155,16,1,1,0,1,15,1,27,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,4,4,2,0,0,0,2
1156,16,3,1,0,2,15,1,54,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,0,2,0,2,0,0,0,0,4,4,2,0,0,0,2
1157,16,2,1,0,2,15,2,49,2,7,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,2,0,1,2,1,1,2,4,4,2,0,0,0,2
1158,17,2,1,0,2,29,2,43,9,1,1,1,1,1,1,2,1,3,1,1,1,2,2,2,2,2,0.0,2,1,1,3,1,1,0,1,1,1,1,3,1,0.0,1,2,1,0,0,0,2,1,60,1,7,3,4,1,0,1,2,2,1,2,1,2,0,1,5,1,2,1,2,2,1,2,1,2,3,1,1
1159,17,4,1,0,1,29,1,53,3,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,3,2,0,2,1,1,2,3,2,0.0,2,1,1,0,0,0,0,0,60,2,0,2,3,2,0,2,2,2,2,2,2,1,2,1,2,1,3,2,2,2,1,3,1,0,2,2,1
1160,17,3,1,0,2,29,2,61,7,3,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,3,1547.4358108108108,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,60,2,0,2,3,2,0,1,2,2,2,3,2,3,0,3,0,1,3,3,2,3,1,2,1,2,0,0,1
1161,17,2,1,0,3,29,1,21,7,6,1,1,1,2,2,1,1,2,4,1,2,2,1,2,2,3,299.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,2,1,2,4,20,1,5,3,3,1,0,1,2,2,1,1,1,1,2,1,5,1,1,1,1,1,1,2,1,2,0,0,1
1162,17,1,1,0,5,29,1,26,7,4,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,1,2,1,2,1,2,2,4,4,2,0,0,0,2
1163,17,4,1,0,2,29,2,39,4,7,1,1,1,2,2,1,1,3,4,2,2,2,1,2,2,1,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,2,1,4,30,2,0,1,4,1,0,2,2,2,2,2,1,1,2,1,6,1,2,3,1,1,1,2,1,1,0,0,1
1164,17,2,1,0,1,29,2,72,7,8,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,4,3,150,2,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,60,2,0,2,3,1,0,2,2,2,2,2,2,2,0,1,6,1,2,1,1,2,1,3,1,0,2,0,1
1165,17,3,1,0,1,29,1,67,3,7,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,180,2,0,2,3,1,0,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,3,3,1,0,0,0,2
